url,domain_length,path_length,has_ip,has_at_symbol,has_redirect,has_https,num_subdomains,num_dots,num_hyphens,domain_in_blacklist,domain_age,domain_end,is_url_shortened,entropy,ssl_certificate,label
http://paypal-verification.com/4fbmy3l,23,7,0,0,0,0,0,1,1,1,173,29,0,2.56,0,1
http://bank-update.com/y7cvoah62,15,9,0,0,0,0,0,1,1,1,110,83,0,4.3,0,1
http://account-security.com/jzerdpd0jx8j16,20,14,0,0,0,0,0,1,1,1,156,67,0,5.04,0,1
https://secure-login.com/f1eljg2zkn4d,16,12,0,0,0,1,0,1,1,1,76,24,0,5.04,1,1
http://free-gift.com/hqizzl90,13,8,0,0,0,0,0,1,1,1,125,63,1,3.13,0,1
https://bank-update.com/ubgyoub8,15,8,0,0,0,1,0,1,1,1,38,41,0,3.27,1,1
https://secure-login.com/au657,16,5,0,0,0,1,0,1,1,1,176,53,0,4.4,1,1
https://bank-update.com/6cimxsxfu7vdum,15,14,0,0,0,1,0,1,1,1,129,74,0,4.13,1,1
https://secure-login.com/sugatmgdzdqn8g2,16,15,0,0,0,1,0,1,1,1,97,3,0,3.31,1,1
http://free-gift.com/85ef0kjbct,13,10,0,0,0,0,0,1,1,1,92,37,1,4.17,0,1
https://secure-login.com/5q5b1,16,5,0,0,0,1,0,1,1,1,150,8,0,3.26,1,1
http://secure-login.com/1tavf5fg0cbf,16,12,0,0,0,0,0,1,1,1,2,65,0,2.79,0,1
http://paypal-verification.com/3sgq8jh7ouq0s8c,23,15,0,0,0,0,0,1,1,1,26,22,0,3.36,0,1
http://bank-update.com/v6yu2xacxnf4,15,12,0,0,0,0,0,1,1,1,83,67,0,3.09,0,1
https://secure-login.com/4wm0q03rt,16,9,0,0,0,1,0,1,1,1,35,56,0,3.76,1,1
http://paypal-verification.com/yei6v,23,5,0,0,0,0,0,1,1,1,103,49,0,3.45,0,1
https://free-gift.com/0emcnyq,13,7,0,0,0,1,0,1,1,1,91,48,1,5.08,1,1
http://account-security.com/k886nc,20,6,0,0,0,0,0,1,1,1,47,71,0,3.99,0,1
https://account-security.com/aytkwdxs7l,20,10,0,0,0,1,0,1,1,1,156,65,0,3.62,1,1
http://secure-login.com/zsevllqz4d,16,10,0,0,0,0,0,1,1,1,0,84,0,2.73,0,1
https://bank-update.com/bw8m4rys,15,8,0,0,0,1,0,1,1,1,173,82,0,4.03,1,1
http://free-gift.com/r7zpecsm2w6j,13,12,0,0,0,0,0,1,1,1,122,19,1,4.87,0,1
http://free-gift.com/3stiimekjg,13,10,0,0,0,0,0,1,1,1,176,59,1,5.16,0,1
